GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
MR1	-18.206	-12.195	-18.219	-4.086	-15.546	-14.148	-10.66	-16.948	-18.964000000000002	-18.825	-13.005999999999998	-21.055999999999997	-13.133	-16.169	-13.1	-16.511	-7.182	-23.215
MRAP	-25.017	-18.358	-21.335	-17.928	-25.965	-23.685	-18.758	-28.304000000000002	-23.055	-20.445	-26.813000000000002	-30.311999999999998	-6.058	-20.480999999999998	-9.777000000000001	-17.867	-25.15	-27.845
MRAP2	-17.175	-14.788	-23.38	-13.151	-14.054	-26.676	-7.732	-24.561999999999998	-13.644	-4.31	-19.807000000000002	-25.346	-17.676	-16.319000000000003	-7.0120000000000005	-15.572000000000001	-4.5360000000000005	-15.613
MRAS	-12.435	-4.739	-15.367	-11.541	-23.973000000000003	-23.551	-14.385	-24.628	-17.699	-22.988000000000003	-19.748	-20.816	-17.35	-16.424	-7.881	-25.108	-20.372	-23.709
MRC2	-2.191	-0.284	-6.027	-8.258	-1.807	1.751	-6.607	-6.232	1.285	11.152999999999999	-7.5920000000000005	-1.6340000000000001	4.067	-0.557	1.5019999999999998	-1.993	10.282	-4.652
MRE11A	-27.879	-22.775	-4.216	-5.358	-8.014	-17.369	-11.46	-10.377	-7.465	-6.087999999999999	-8.752	-5.269	-8.854	-9.347999999999999	-9.048	-9.448	-11.485	-2.625
MREG	-25.336	-10.767	-25.317	-17.820999999999994	-20.131	-20.415	-8.922	-18.528	-21.752	-22.534000000000002	-19.259	-24.469	-0.344	-17.518	-8.487	-16.437	-13.597999999999999	-24.612
MRFAP1	-18.111	-11.931	-17.861	-14.598	-14.915	-19.15	-8.69	-22.862	-12.987	-8.115	-18.468	-19.635	-8.148	-15.823	-9.952	-12.072000000000001	-6.739	-12.867
MRFAP1L1	-22.496	-13.658	-6.189	-23.322	-14.663	-16.114	-15.417	-25.954	-10.798	-17.011	-27.021	-20.169	-10.208	-13.995	-6.651	-24.261	-10.02	-27.857
MRGBP	-0.608	2.275	2.122	8.749	5.216	-2.6	-3.46	7.535	12.037	5.995	3.799	-3.842	2.6510000000000002	2.7439999999999998	-2.068	-12.505	9.164	10.791
MRGPRD	-9.666	-2.878	-5.009	-8.377	-4.8069999999999995	-1.706	-12.235	-8.302	-14.389000000000001	-14.475999999999999	-3.6919999999999997	-20.534000000000002	-4.8389999999999995	-15.205	-1.3259999999999998	-2.431	-8.205	-27.739
MRGPRE	-9.757	-12.679	1.403	-3.242	-1.093	-7.816	-6.084	-2.722	1.571	2.138	-4.834	-5.829	-8.781	-5.608	-11.409	-8.591000000000001	-8.503	-13.337
MRGPRF	-4.808	-11.561	-10.564	-1.846	-3.903	-8.113	-8.94	-10.757	-13.526	0.012	-5.312	-15.824000000000002	3.928	-2.28	-7.797999999999999	-7.787999999999999	-3.779	-15.838
MRGPRG	-19.912	-15.08	-24.079	-12.836	-26.589000000000002	-18.617	-16.504	-21.034000000000002	-14.776	-16.016	-17.84	-29.930999999999997	-15.163	-20.241	-11.279000000000002	-7.306	-9.817	-27.727
MRGPRX1	-16.189	-11.071	-3.61	-7.681	-10.118	-12.605	-10.524000000000001	-11.058	-13.012	-3.305	-11.764000000000001	-16.979	-13.049000000000001	-13.333	-3.764	-4.8469999999999995	-1.155	-21.304
MRGPRX2	-10.096	-2.027	-10.839	-0.684	-11.785	-13.729000000000001	-2.272	-7.3	-8.01	-8.669	-9.311	-10.694	-5.126	-0.614	0.635	-6.3020000000000005	-13.753	-7.972
MRGPRX3	-13.76	-9.457	-10.886	-13.259	-14.592	-10.984000000000002	-7.457000000000001	-14.05	-8.759	-9.363999999999999	-9.185	-9.568999999999999	-7.666	-10.368	-8.113999999999999	-9.123	-11.485999999999999	-21.879
MRGPRX4	-29.802	-23.783	-26.097	-21.379	-22.839000000000002	-32.838	-22.4	-29.778000000000002	-21.67	-25.499000000000002	-27.005	-36.333	-20.369	-13.374	-15.734000000000002	-22.528000000000002	-20.69	-26.236
MRI1	-10.735	-11.723	-3.777	-13.479	-2.447	-20.042	-11.522	-5.497000000000001	-2.537	-8.277000000000001	-5.315	-12.522	-5.707000000000001	3.847	-8.251	-10.343	-4.615	-9.479
MRM1	-11.668	-15.46	-16.552	-18.216	-4.251	-25.372	-1.544	-12.940999999999999	-6.0920000000000005	2.835	-12.911	-5.778	3.694	-2.989	0.899	2.9019999999999997	5.153	-12.15
MRO	-26.086	-14.314	-23.623	-22.672	-15.694	-26.456999999999997	-15.847000000000001	-22.143	-19.963	-16.291	-16.844	-26.254	-18.726	-16.962	-11.815999999999999	-6.957999999999999	-14.013	-23.666
MROH1	-14.226	-6.832000000000002	-11.553	0.369	-16.808	-14.67	-12.468	-13.229000000000001	-16.197	-17.428	-17.066	-24.877	-10.249	-3.451	-6.25	-6.8389999999999995	-10.807	-27.35
MROH2A	-28.423	-9.001	-33.048	-6.464	-1.085	-23.748	-14.878	-26.462	-22.405	-10.293	-21.094	-22.021	-18.062	-20.315	-15.62	-20.419	-21.267	-25.199
MROH2B	-22.138	-8.226	-12.855	-15.696	-15.589	-19.527	-16.616	-19.517	-6.894	-14.274000000000001	-14.419	-20.175	-12.515999999999998	-18.934	-21.002	-14.555	-20.531999999999996	-18.964
MROH6	-12.936	0.5	0.778	3.728	-2.354	-13.620999999999999	1.689	-5.256	-2.138	-5.492000000000001	-8.908	-7.596	2.5269999999999997	8.639	-3.324	-9.125	-1.954	-17.614
MROH7	-8.895	-7.483	-0.441	-5.271	-0.753	-2.951	-5.02	-11.777999999999999	-1.195	-14.504000000000001	-14.37	-2.168	-4.599	-11.312999999999999	-10.498	5.422999999999999	-18.787	-8.1
MROH9	-19.087	-4.559	-15.61	-2.144	-18.299	-20.212	-12.927	-18.410999999999998	-8.331	-8.367	-16.276	-11.634	-11.235	-6.5889999999999995	-14.777000000000001	-7.224	-17.733	-16.090999999999998
MRP63	75.491	48.487	62.93	45.54600000000001	39.46	42.246	45.755	49.738	36.684	41.236999999999995	39.3	47.861000000000004	33.799	50.909	28.228	28.368000000000002	45.876999999999995	67.032
MRPL1	-6.915	-2.7260000000000004	1.335	-7.683	-1.4869999999999999	-14.492	-0.155	-3.978	-7.5089999999999995	-12.645999999999999	-7.943	-23.75	3.957	4.649	0.48100000000000004	-2.145	4.1160000000000005	-17.076
MRPL10	20.068	16.713	21.167	22.425	12.296	19.753	10.172	12.415	22.771	15.642999999999999	15.657	20.340999999999998	17.607	6.397	-0.688	16.447	20.994	16.447
MRPL11	29.994	15.294	27.777	30.703000000000007	20.537	16.656	23.891	28.095	25.08	20.319000000000003	25.691	20.908	-3.638	8.347000000000001	6.74	9.219	14.312000000000001	8.219
MRPL12	28.726	28.212	24.758000000000006	19.247	5.114	22.635	9.304	25.735	17.375	13.716	27.191999999999997	20.941999999999997	11.130999999999998	23.956999999999997	21.253	22.546	21.214000000000002	18.058
MRPL13	45.76600000000001	32.655	42.544	19.813	43.522	33.333	22.71	41.12	48.31100000000001	41.883	33.033	39.232	29.713	50.917	32.109	46.963	30.820999999999998	55.816
MRPL14	26.685	14.49	26.795	18.623	37.966	13.972000000000001	26.245	23.828000000000003	17.755	17.037	22.987	22.531	9.812000000000001	17.737000000000002	20.124000000000002	19.713	17.382	10.042
MRPL15	41.184	34.185	48.455	37.834	47.058	42.799	36.049	49.839	42.266000000000005	47.64	44.07	28.820999999999998	11.412	18.652	31.761	16.896	26.349	22.293000000000006
