GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
A1BG	-3.976	0.325	-2.268	-13.424	-1.9780000000000002	-6.636	-13.668	2.6719999999999997	-4.0489999999999995	-3.721	-10.339	-12.501	-1.496	2.411	-1.157	0.45799999999999996	5.73	-16.922
A1CF	-0.221	4.165	1.068	11.453	-1.936	2.201	-7.5920000000000005	1.028	-0.613	5.647	5.029	-0.509	2.955	2.438	-0.042	6.246	-4.169	4.336
A2M	11.255	13.856	2.643	14.523	9.193	3.0439999999999996	-4.289	4.046	-1.074	4.912	4.074	4.976	0.018000000000000002	12.32	10.42	-3.468	15.636	0.13699999999999998
A2ML1	-10.607	-5.756	-15.726	-10.805	-17.877	-10.6	-13.520999999999999	-14.324000000000002	-11.535	-13.244000000000002	-2.162	-14.915999999999999	-5.025	-5.92	-11.45	-3.412	-4.492	-5.1720000000000015
A3GALT2	-7.8439999999999985	-3.1180000000000003	-2.142	-3.3760000000000003	-2.967	-2.7739999999999996	-9.805	-9.34	-7.648	-8.573	-10.568	-9.185	-5.97	-14.048	-8.173	-5.865	-11.538	-5.509
A4GALT	-9.235	-10.674	-7.77	-16.271	-10.031	-8.281	-15.124	-15.058	-8.246	-5.752000000000001	-9.814	-4.89	-1.831	-5.251	-10.307	-3.637	-11.112	-9.111
A4GNT	-14.408	-8.95	-13.087	-7.95	-9.16	-18.887999999999998	-7.097	-17.165	-14.872	-18.515	-15.945	-18.772000000000002	-7.886	-8.379	-5.2379999999999995	-9.224	-11.667	-6.02
AAAS	-2.899	-7.387	-4.456	-6.527	-13.854000000000001	4.11	-14.722999999999999	1.526	-12.544	-4.335	9.791	-3.51	2.0580000000000003	-0.589	7.415	-12.479000000000001	0.21899999999999997	-0.6759999999999999
AACS	-17.804000000000006	-7.231	-16.182000000000002	-14.937	-6.875	-9.427	-3.9139999999999997	-12.703	-19.04	-10.882	-14.564	-18.616	-11.943	-9.636000000000001	-2.506	-1.986	-10.334000000000001	-17.837
AADAC	-24.528	-21.171	-25.141	-12.765	-20.756	-22.179000000000002	-13.892000000000001	-24.588	-16.822	-26.248	-25.874000000000002	-31.948	-12.306	-12.814	-10.623	-19.669	-23.776	-21.418000000000006
AADACL2	-16.602	-12.395	-23.277	-20.01	-14.992	-14.414000000000001	-14.513	-14.526	-16.119	-25.438000000000002	-14.168	-22.127	-9.359	-22.21	-10.382	-11.097999999999999	-10.831	-13.598
AADACL3	-14.501	-7.901	-18.729	-3.919	-14.978	-17.084	-8.597999999999999	-17.307000000000002	-8.802999999999999	-14.354000000000001	-10.862	-12.927	-2.565	-14.533	-6.218999999999999	-11.655999999999999	-10.007	-21.527
AADACL4	-8.242	-13.875	-7.04	-13.318	-11.029000000000002	-6.94	-5.808	-11.845999999999998	-3.728	-14.504000000000001	-7.75	-14.699000000000002	-2.127	-12.91	-1.63	-16.02	-15.573	-18.009
AADAT	-28.422	-15.967	-25.029	-23.078000000000007	-20.488000000000003	-24.609	-18.464000000000002	-26.539	-25.123	-23.993000000000002	-28.024	-27.445	-10.288	-22.46	-21.223000000000003	-20.995	-19.078	-28.921
AAED1	-13.65	-5.0539999999999985	-11.293	-3.334	-7.361000000000001	-8.902000000000001	-9.182	-15.029000000000002	-12.657	-11.571	-18.230999999999998	-23.879	-10.995	-17.359	-12.402999999999999	-15.185	-12.957	-13.015999999999998
AAGAB	-12.679	-6.2360000000000015	-20.529	-6.149	-8.262	-8.073	-8.262	-11.865	-19.849	-13.677999999999999	-12.595999999999998	-18.832	-7.386	-11.129000000000001	-6.263999999999999	-7.941	-12.562999999999999	-26.136
AAK1	-12.409	-13.399	-14.767	-6.04	-14.51	-3.469	-13.452	-13.792	-7.709	-11.965	-16.307000000000002	-14.539000000000001	-11.847000000000001	-17.41	-10.307	-10.575999999999999	-17.809	-21.851
AAMDC	-19.147	-14.447	-23.017	-19.033	-20.212	-21.68	-21.984	-14.618	-14.077	-18.892	-21.188000000000002	-21.743000000000002	-14.607000000000001	-5.0969999999999995	-11.822000000000001	-11.946	-10.181000000000001	-11.559
AAMP	35.407	25.285	47.331	21.077	21.81	25.063000000000002	15.520999999999999	24.375	23.625999999999998	23.264	32.795	30.36	10.985999999999999	33.87	13.067	25.464000000000002	21.364	17.660999999999994
AANAT	-16.829	-21.34	-36.631	-18.496	-22.834	-26.724	-12.306	-32.736999999999995	-23.953000000000003	-22.743000000000002	-20.437	-27.7	-9.829	-20.628	-10.799000000000001	-31.524	-26.92	-27.915
AAR2	-8.972000000000003	-3.008	-28.324	10.364	-13.99	-12.504000000000001	-7.992999999999999	-8.399	-4.628	-3.71	-11.542	-19.407	0.21	-22.261999999999997	-5.4639999999999995	-5.252999999999999	-14.624	-3.109
AARD	-6.417000000000002	-7.39	-6.59	-7.771	-5.7010000000000005	-11.280999999999999	-4.2	-8.338	-15.946	-7.007999999999999	-11.527000000000001	-11.457	-0.672	-13.029000000000002	-4.1530000000000005	-6.433	-14.485999999999999	-6.192
AARS	53.09	32.407	51.151	34.929	30.93	35.771	25.29	34.080999999999996	36.317	41.94	42.633	52.788999999999994	26.090999999999998	47.985	28.999000000000002	33.681999999999995	39.705999999999996	44.322
AARS2	-19.099	-15.457	-15.009	-4.713	-16.295	-17.549	-10.051	-17.044	-8.107999999999999	-13.425	-26.944000000000003	-7.037000000000001	-8.548	-12.720999999999998	-21.412	-16.366	-17.02	-19.864
AARSD1	-2.9810000000000003	0.046	-0.8	-4.614	-2.338	-2.668	-2.7110000000000003	-0.027000000000000003	0.065	0.353	-3.392	-4.43	-3.533	5.032	-0.873	-1.5630000000000002	-1.479	-2.499
AASDH	-24.689	-14.743	-17.599	-20.02	-18.999000000000002	-21.131999999999998	-11.394	-25.77	-13.757	-17.808	-23.456999999999997	-27.441999999999997	-11.589	-6.26	-7.38	-10.734000000000002	-13.527000000000001	-23.009
AASDHPPT	35.359	23.629	25.198	15.686	16.819000000000003	13.527000000000001	14.392000000000001	30.499000000000002	18.254	19.993	24.131999999999998	34.615	14.011	10.052999999999999	20.85	11.423	15.514000000000001	34.771
AASS	-26.238000000000003	-16.42	-18.738	-7.803	-16.889	-23.484	-16.648	-24.986	-20.947	-20.924	-20.148	-25.379	-5.544	-16.538	-11.253	-16.36	-21.228	-27.26
AATF	16.014	2.518	27.758000000000006	3.265	19.125	1.76	6.257000000000001	17.147000000000002	1.4980000000000002	10.905	16.357	14.468	7.784	21.791999999999998	19.486	25.005	10.659	29.51
AATK	-11.476	-1.406	-1.3259999999999998	-6.172999999999999	-10.780999999999999	-0.943	-0.72	-8.807	-4.262	-0.645	-4.74	-5.966	3.029	8.853	3.29	1.794	11.874	-9.336
ABAT	-12.382	-13.347	-15.184	-14.486	-11.776	-20.281	-11.247	-18.552	-12.965	-17.215999999999998	-18.602	-24.705	-7.127000000000001	-17.965	-7.63	-18.381	-22.397	-13.661
ABCA1	-14.718	-11.101	-20.981	-8.857999999999997	-16.199	-14.854000000000001	-13.782	-21.666	-14.585	-11.687000000000001	-12.304	-26.623	-6.624	-17.303	-13.155	-21.357	-17.758	-11.798
ABCA10	-13.49	-15.49	-22.849	-17.434	-20.774	-28.601999999999997	-14.493	-29.805999999999997	-21.13	-18.351	-21.576	-22.526999999999997	-10.91	-17.11	-10.349	-21.783	-14.107000000000001	-18.432
ABCA12	-23.294	-12.977	-26.516	-10.422	-19.767	-25.518	-16.057000000000002	-21.494	-24.701	-8.937000000000001	-23.680999999999997	-26.609	-10.581	-15.675999999999998	-9.218	-23.671	-22.066999999999997	-21.503
ABCA13	-25.822	-19.549	-24.673	-15.226	-22.086	-27.041	-10.484000000000002	-31.828000000000003	-17.078	-27.592	-27.27	-28.178	-12.538	-25.919	-23.139	-14.482000000000001	-22.022	-20.493
ABCA2	0.7040000000000001	4.423	1.916	-0.942	-3.549	3.6430000000000002	1.328	13.412	1.9809999999999999	4.172	-2.025	-3.562	5.247999999999999	10.163	11.827	4.114	12.12	-4.547
ABCA3	-7.588999999999999	-6.751	-7.725	-6.004	-9.413	-6.351	-9.437000000000001	-7.867000000000001	-8.849	-7.272	-1.47	-5.074	-4.735	-11.073	-6.656000000000001	-11.356	-13.764000000000001	-16.12
ABCA4	-13.985	-24.19	-20.213	-14.829	-15.59	-7.757999999999999	-14.307	-24.886999999999997	-15.81	-23.631999999999998	-15.665999999999999	-19.612000000000002	-11.537	-17.274	-17.785999999999998	-15.914000000000001	-16.565	-7.194
ABCA5	-27.376	-21.481	-27.317	-23.59	-25.71	-31.184	-11.917	-32.459	-26.776	-17.764	-25.14	-26.840999999999998	-3.9010000000000002	-10.026	-18.889	-19.455	-29.645	-14.651
ABCA6	-34.475	-14.765999999999998	-19.028	-20.41	-23.418000000000003	-27.588	-15.296	-25.486	-16.333	-16.491	-19.679000000000002	-30.703000000000003	-15.037	-28.449	-12.579	-19.869	-20.465999999999998	-26.087
ABCA7	-14.248	-18.311	0.926	-10.716	-6.7989999999999995	-9.751	-15.202	-15.664000000000001	-9.235	-12.189	-18.94	-16.736	-14.295	-6.011	-11.329	-0.9640000000000001	-5.0	-5.157
ABCA8	-14.546	-18.364	-11.089	-6.188	-15.097000000000001	-19.042	-11.237	-25.505	-11.237	-6.814	-17.159000000000002	-23.337	-3.491	-21.543000000000003	-10.035	-3.766	-8.719	-18.509
ABCA9	-19.363	-18.957	-10.528	-15.02	-13.415999999999999	-26.171999999999997	-20.073	-22.893	-13.495	-13.844000000000001	-20.089000000000002	-28.314	-7.912000000000001	-19.803	-3.7239999999999998	-15.86	-9.927	-22.966
ABCB1	-18.993	-12.634	-18.43	-20.456	-15.633	-17.168	-19.636	-19.433	-15.919	-13.362	-23.462	-25.281	-14.592	-20.558000000000003	-18.523	-16.104	-18.851	-22.382
ABCB10	-3.164	-6.67	-7.798999999999999	-4.547	-3.438	-9.94	-4.867	-6.9910000000000005	-7.306	-11.025	-7.683	-11.424000000000001	-7.257999999999999	3.08	-2.012	3.2889999999999997	-5.801	-1.951
ABCB11	-21.928	-12.629	-19.204	-11.22	-14.592	-14.027000000000001	-15.148	-29.398000000000003	-17.748	-16.404	-24.616999999999997	-20.709	-11.832	-16.293	-9.189	-14.825	-16.169	-17.622
ABCB4	-22.959	-10.747	-14.942	-14.308	-16.293	-16.796	-12.315	-19.416	-12.114	-16.835	-16.485	-18.867	-12.380999999999998	-15.155999999999999	-10.407	-16.549	-10.425999999999998	-18.318
ABCB5	-23.855	-17.812	-15.209	-13.364	-12.058	-14.283	-16.105	-23.225	-16.646	-20.766	-18.332	-21.397	-15.092	-18.895	-19.426	-12.0	-23.031	-13.263
ABCB6	-20.304	-10.876	-23.9	-13.277	-15.997	-11.765	-18.227	-20.262999999999998	-10.226	-24.319000000000003	-18.85	-28.676	-13.300999999999998	-14.234000000000002	-17.867	-8.379	-11.93	-21.969
ABCB7	10.649	6.789	0.685	-2.88	9.324	2.319	6.853	9.335	-3.181	4.213	5.075	7.292999999999999	0.33299999999999996	5.364	-4.434	12.05	-2.0709999999999997	14.882
ABCB8	-13.733	-8.441	-10.284	-20.138	-1.374	-16.102999999999998	-9.693	-4.1739999999999995	-14.5	-12.974	-12.413	-12.905	-11.751	-3.3760000000000003	-4.791	-19.442999999999998	-12.710999999999999	-23.631
ABCB9	-10.235	-10.139	-5.5310000000000015	-5.869	-12.127	-2.01	-12.475999999999999	-12.293	-6.5889999999999995	-15.26	-8.855	-6.797999999999999	-4.6080000000000005	-0.7929999999999999	-3.4410000000000003	-0.835	2.647	-6.912000000000001
ABCC1	-22.351	-20.145	-24.952	-18.406	-15.527999999999999	-22.54	-17.522000000000002	-21.421999999999997	-16.944000000000003	-19.711	-25.987	-27.808000000000003	-6.146	-25.108	-13.869000000000002	-16.852	-16.709	-19.086
ABCC10	-19.307	-8.342	-15.122	-14.705	-10.504000000000001	-12.13	-9.422	-14.866	-19.570999999999998	-4.855	-12.425999999999998	-23.191	-7.528	-10.298	-6.195	-0.5820000000000001	-8.275	-23.489
ABCC11	-17.04	-15.285	-33.199	-13.709	-9.094	-23.869	-15.442	-14.705	-23.78	-23.276999999999997	-27.214000000000002	-25.114	-17.667	-16.269000000000002	-13.81	-12.469000000000001	-18.997	-24.12
ABCC12	-21.827	-15.25	-25.01	-7.508999999999999	-15.52	-20.004	-19.625999999999998	-21.346999999999998	-15.366	-22.250999999999998	-18.539	-19.597	-12.177999999999999	-6.653	-10.277999999999999	-17.267	-9.649	-18.169
ABCC2	-16.692	-8.877	-15.855	-3.616	-15.579	-16.745	-9.346	-20.631999999999998	-7.731	-6.5360000000000005	-14.71	-13.319	-17.836	-16.236	-8.636000000000001	-15.275	-14.378	-17.392
ABCC3	-16.032	-11.651	-5.6389999999999985	-6.79	-11.927	-9.772	-12.4	-8.629	-3.737	-3.322	-14.857999999999999	-13.172	4.625	-8.603	-1.743	-1.09	10.690999999999999	-17.852999999999994
ABCC4	-27.451	-22.196	-31.464	-20.472	-21.391	-28.91	-17.9	-24.816	-25.916999999999998	-24.427	-28.259	-30.746	-9.656	-26.427	-19.139	-14.603	-23.994	-22.839
ABCC5	-23.63	-14.63	-17.744	-26.002	-15.574000000000002	-20.918000000000003	-14.425	-13.482999999999999	-13.69	-17.235	-20.41	-23.165	-7.765	-16.292	-11.745	-13.937000000000001	-13.549000000000001	-19.115
ABCC6	5.292000000000002	12.523	17.432000000000002	21.733	25.714000000000002	15.573	5.626	9.844	9.724	14.155999999999999	17.219	5.822	10.812000000000001	12.675	13.762	8.552	10.897	13.26
ABCC8	-18.074	-14.186	-12.888	-12.408	-16.098	-20.698	-9.797	-25.621	-13.144	-11.097999999999999	-13.779000000000002	-29.284000000000002	-10.76	-14.652999999999999	-10.074	-11.493	-14.3	-23.793000000000006
ABCC9	-21.165	-12.438	-19.243	-11.113	-18.722	-20.358	-14.585999999999999	-15.795	-23.928	-16.997	-23.048000000000002	-23.480999999999998	-12.565999999999999	-25.397	-18.274	-16.338	-20.616999999999997	-16.055999999999994
ABCD1	-11.344	-2.316	-9.857	-13.503	-16.151	-11.99	-2.8710000000000004	-6.443	-15.094000000000001	-12.815	-8.533999999999999	-19.637999999999998	-7.691	-8.236	3.068	-1.385	-12.339	-18.39
ABCD2	-20.438	-15.177	-25.632	-15.931	-17.934	-17.004	-19.822	-23.903000000000002	-24.604	-19.924	-19.714000000000002	-25.334	-13.717	-19.726	-17.230999999999998	-17.83	-20.273	-19.881
ABCD3	-3.852	-16.128	-2.754	-6.4689999999999985	-9.446	-5.686	-0.8640000000000001	-12.878	-10.651	-13.725999999999999	-4.294	-6.745	0.254	2.805	-7.041	-2.705	-4.936	5.9910000000000005
ABCD4	-14.569	-8.16	-13.268	-15.899	-13.04	-9.436	-11.043	-18.691	-13.267000000000001	-22.704	-12.447000000000001	-19.042	-1.0070000000000001	-6.1770000000000005	-6.811	-9.325	-21.441	-19.402
ABCE1	45.807	31.168000000000006	42.203	28.616	28.903000000000002	55.88399999999999	26.528000000000002	56.706	45.744	43.653	42.512	51.288000000000004	20.829	11.735999999999999	11.333	15.863	25.092	10.236
ABCF1	11.677	-1.84	27.589	9.819	3.4819999999999998	9.615	10.012	14.924000000000001	15.616	7.56	12.359000000000002	-3.127	12.957	17.504	15.568	33.532	10.690999999999999	27.48
ABCF2	-14.081	-15.647	-22.136	-12.764	-9.561	-17.082	-19.389	-23.895	-11.739	-17.767	-16.047	-21.544	-8.587	-10.823	0.564	-23.18	-6.607	-19.792
ABCF3	-22.416	-12.51	-17.067	-15.711	-18.494	-23.783	-13.902999999999999	-19.598	-17.112000000000002	-22.813000000000002	-18.865	-23.162	-11.071	-17.119	-13.562999999999999	-9.875	-14.017999999999999	-22.348000000000006
ABCG1	-28.331	-19.284	-20.921	-18.494	-13.249	-18.572	-21.06	-20.926	-20.098	-19.498	-19.015	-22.623	-13.288	-13.309000000000001	-20.445999999999998	-16.8	-22.953000000000003	-16.055999999999994
ABCG2	-31.118	-25.277	-22.601	-24.026	-25.144000000000002	-31.643	-20.833000000000002	-29.198	-20.202	-27.967	-24.02	-36.56	-13.559000000000001	-35.079	-15.306	-11.839	-20.785999999999998	-23.135
ABCG4	-26.191	-19.358	-28.071	-13.767	-18.525	-21.703000000000003	-14.017000000000001	-22.62	-20.775	-22.371	-20.144000000000002	-34.264	-13.363	-17.352999999999998	-13.686	-27.86	-19.405	-24.233
ABCG5	-23.463	-9.682	-28.547	-5.801	-23.914	-15.710999999999999	-22.506999999999998	-21.575	-16.886	-17.303	-16.175	-17.38	-10.014	-15.163	-13.998	-16.623	-17.142	-17.82
ABCG8	-17.07	-4.129	-20.082	-14.081	-15.515	-17.654	-11.993	-19.375	-12.648	-13.040999999999999	-14.251	-20.588	-16.902	-23.645	-8.888	-13.360999999999999	-9.676	-25.135
ABHD1	-21.782	-13.981	-13.673	-10.578	-9.75	-15.882	-7.478	-20.112000000000002	-17.039	-14.505	-23.555999999999997	-15.482999999999999	-2.233	-18.772000000000002	-12.179	-22.323	-15.505	-26.971
ABHD10	-18.000999999999994	-12.75	-11.583	-13.157	-13.408	-15.79	-11.565999999999999	-21.749000000000002	-13.853	-19.61	-16.563	-18.601	2.735	-11.219000000000001	-19.434	-11.921	-12.741	-12.878
ABHD11	8.256	-3.1180000000000003	4.842	7.825	19.992	9.859	10.703	6.595	3.195	15.549000000000001	-3.15	-6.72	15.444	7.845	-1.091	4.59	6.731	-3.705
ABHD12	-26.119	-18.739	-34.503	-19.432	-16.206	-29.495	-24.728	-24.89	-21.031	-25.171999999999997	-29.096	-32.406	-14.509	-21.176	-20.27	-18.289	-29.345	-23.98
ABHD12B	-15.738	-14.179	-19.797	-15.694	-16.712	-11.015999999999998	-11.759	-19.262	-10.187000000000001	-14.005	-14.724	-12.618	-7.3229999999999995	-12.835999999999999	-10.715	-9.043	-10.44	-10.621
ABHD13	-21.328000000000007	-25.467	-24.804	-16.182000000000002	-23.897	-27.025	-23.24	-24.95	-21.518	-17.529	-23.340999999999998	-35.766999999999996	-2.228	-14.529000000000002	-13.758	-17.272000000000002	-25.066	-20.676
ABHD14A	-10.814	-5.542999999999998	-11.575	-4.493	-11.095999999999998	-11.413	-8.512	-13.748	-17.055	-4.748	-9.097000000000001	-15.867	-9.104	-5.117	-1.515	-2.2	-4.957	-18.253
ABHD14B	-20.975	-0.336	-2.449	-2.527	-7.727	-18.208	1.609	-12.751	-12.123	-4.05	-11.09	-4.71	-10.215	-9.559	-0.8220000000000001	-7.72	0.534	-21.059
ABHD15	-13.312	-18.976	-15.982	-11.092	-19.358	-19.973	-9.904	-15.572000000000001	-11.195	-8.573	-14.3	-14.449000000000002	-8.842	-8.934	-1.1640000000000001	-12.624	-7.523	-16.087
ABHD16A	-12.691	1.453	-11.568	-7.518	1.171	-2.524	-8.135	-6.9	-2.3280000000000003	-5.648	-10.622	-11.052999999999999	-9.39	1.338	-7.468	-6.114	-0.9259999999999999	-17.533
ABHD16B	-10.811	-7.24	-10.021	4.939	-12.210999999999999	-19.298	-9.538	-15.515999999999998	-5.352	-8.91	-17.794	-20.904	-6.962999999999999	-12.401	-7.215	-9.224	-17.687	-10.118
ABHD17A	5.995	5.752999999999999	5.863	-11.661	13.759	-1.148	1.589	13.909	12.283	5.202000000000001	9.481	1.012	9.041	10.534	7.031000000000001	6.987	20.198	0.133
ABHD17B	-23.651	-14.936	-18.666	-17.105999999999998	-19.36	-14.95	-10.642999999999999	-26.955	-20.874000000000002	-23.447	-30.545	-32.939	-18.188	-22.851	-16.643	-20.894000000000002	-15.267999999999999	-18.581
ABHD17C	-24.777	-14.441	-23.31	-15.046	-16.750999999999998	-25.683000000000003	-10.535	-26.232	-22.984	-18.709	-17.077	-20.781999999999996	-9.27	-14.89	-8.953	-27.829	-22.322	-16.921
ABHD2	-21.393	-25.948	-22.858	-18.937	-22.538	-24.238000000000003	-15.671	-26.04	-22.263	-25.921999999999997	-25.695999999999998	-29.605	-14.775	-28.149	-19.295	-23.921999999999997	-25.339000000000002	-27.192
ABHD3	-16.509	-0.412	-8.722000000000001	-5.231	-5.609	-0.89	-7.081	-9.636000000000001	-6.1	-4.438	-8.334	-9.259	-11.690999999999999	-5.1370000000000005	4.626	-13.247	-3.955	-1.8
ABHD4	-30.307	-21.538	-24.965	-20.912	-19.659000000000002	-22.019000000000002	-18.502	-24.107	-20.9	-25.685	-29.119	-33.85	-12.440999999999999	-25.603	-12.472000000000001	-23.726	-12.258	-23.229
ABHD5	-13.081	-14.398	-20.573	-12.823	-16.956	-18.3	-7.896	-17.094	-17.021	-21.389	-18.064	-28.515	-16.842	-8.422	-10.365	-18.637	-16.839000000000002	-14.51
ABHD6	-23.833	-13.419	-15.078	-10.419	-13.008	-16.779	-16.028	-13.038	-18.574	-16.535	-17.862000000000002	-12.595	-1.018	-2.8139999999999996	-5.539	-4.704	-10.296	-9.031
ABHD8	-16.804000000000002	-6.146	-14.491	-16.102999999999998	-7.181	-17.653	-14.31	-19.507	-12.312000000000001	-15.992	-21.978	-18.165	-9.202	-12.262	-5.5520000000000005	-15.004000000000001	-11.574000000000002	-17.311
ABI1	-3.495	-1.5530000000000002	-5.98	-0.684	-6.621	-5.7010000000000005	-1.594	-5.522	-4.909	-6.085	-8.782	-6.367000000000001	-4.272	-6.49	-6.015	-9.274	-12.249	0.127
ABI2	-23.667	-15.326	-26.34	-16.038	-17.637999999999998	-21.289	-17.319000000000003	-22.318	-23.426	-23.639	-25.564	-31.432	-14.535	-19.866	-13.527000000000001	-23.253	-14.707	-26.599
ABI3	-15.287	-11.685	-12.014	-11.13	-13.682	-13.764000000000001	-7.001	-13.485	-7.75	-9.242	-15.582	-10.247	-4.37	-9.138	-10.440999999999999	-3.372	-13.682	-11.51
ABI3BP	-25.557	-16.111	-20.913	-18.211	-16.672	-28.588	-16.282	-21.718000000000004	-19.5	-18.262999999999998	-24.183000000000003	-31.62	-9.866	-20.129	-16.070999999999998	-25.488000000000003	-17.308	-14.261
ABL1	-9.517	-8.985	-18.957	-9.355	-9.201	-14.63	-15.079	-17.393	-13.5	-18.543	-19.62	-15.793	-11.890999999999998	-18.766	-11.415999999999999	-12.933	-12.705	-22.552
ABL2	-24.081	-15.186	-27.39	-9.745	-20.149	-11.31	-13.722999999999999	-13.84	-22.916999999999998	-20.272000000000002	-25.824	-23.889	-0.26	-22.541	-13.672	-14.375	-10.84	-8.664
ABLIM1	-25.972	-12.693	-22.221	-15.537	-22.843000000000004	-13.594000000000001	-18.313	-20.334	-18.439	-25.811999999999998	-25.311	-27.494	-9.15	-12.654000000000002	-15.982000000000001	-18.877	-17.925	-17.971
ABLIM2	-22.993	-13.459	-13.393	-10.212	-18.323	-22.714000000000002	-19.479	-20.569000000000003	-17.338	-20.135	-18.067	-21.869	-11.395999999999999	-20.265	-12.901	-17.734	-12.761	-28.646
ABLIM3	-22.034	-21.313	-22.38	-11.720999999999998	-18.909000000000002	-18.422	-16.967	-23.555	-21.526999999999997	-19.892	-23.541	-28.706	-11.904000000000002	-24.151999999999997	-13.555	-16.487000000000002	-18.348	-26.385
ABR	-27.882	-18.827	-17.052	-23.67	-22.304000000000002	-16.225	-21.596	-30.099	-15.052999999999999	-19.082	-20.86	-25.434	-10.967	-7.095	-11.552999999999999	-15.15	-7.315	-16.769000000000002
ABRA	-29.902	-17.930999999999994	-23.541	-14.667	-22.219	-17.785999999999998	-17.953	-25.625999999999998	-27.910999999999998	-25.309	-25.842	-21.601	-13.86	-17.96	-11.439	-11.921	-18.67	-20.375
ABRACL	-21.601	-13.155	-31.188	-23.453000000000007	-21.627	-25.866	-25.425	-21.404	-26.619	-26.601999999999997	-25.789	-34.684	-13.294	-19.217	-9.886000000000001	-26.391	-17.115	-34.524
ABT1	36.26	19.865	40.571	26.989	31.011999999999997	19.563	20.511	29.820999999999998	15.555	15.841	24.755	35.473	18.557000000000002	38.249	28.541999999999998	18.647000000000002	26.160999999999998	35.117
ABTB1	-14.226	-13.390999999999998	-12.022	-9.361	-13.795	-20.043	-8.752	-23.647	-22.529	-19.134	-22.378	-31.596999999999998	-5.349	-20.004	-9.891	-10.045	-15.581	-12.565
ABTB2	-17.499000000000002	-9.165	-23.19	-11.371	-12.884	-18.502	-18.892	-16.99	-18.607	-15.145	-20.49	-24.322	-14.294	-7.9270000000000005	-5.601	-8.167	-9.265	-17.307000000000002
AC007040.11	-20.187	-15.208	-24.411	-17.182000000000002	-16.412	-23.83	-15.16	-20.064	-17.557000000000002	-23.418000000000003	-22.781	-22.551	-9.645	-15.288	-12.173	-23.636	-17.29	-19.806
AC007431.1	-6.901	-11.624	1.064	-2.104	-12.67	-5.2589999999999995	-2.314	2.36	-4.553999999999999	0.499	-4.657	-4.9110000000000005	0.235	6.1160000000000005	4.948	10.649000000000001	12.232999999999999	5.515
AC009892.10	-4.04	-3.273	-2.173	-3.942	0.008	-3.052	-1.95	-0.434	-2.6310000000000002	-0.902	-0.701	0.8009999999999999	-5.47	0.597	0.218	-1.556	-2.009	0.243
AC016722.1	-14.017	-7.082000000000002	-18.263	-4.08	-8.096	-4.582	-3.4560000000000004	-13.579	-10.442	-7.428999999999999	-16.104	-20.199	-7.082000000000001	-15.034	-11.689	-16.261	-17.869	-23.807
AC016757.3	-25.46	-20.953000000000007	-20.658	-9.96	-16.887999999999998	-18.489	-15.616	-20.896	-11.659	-23.249000000000002	-20.803	-22.663	-12.967	-20.541	-16.463	-14.675999999999998	-21.796999999999997	-27.949
AC018755.1	-5.667999999999998	-12.595	8.916	-9.566	-4.753	-12.947000000000001	-15.061	-8.482999999999999	-0.486	-6.723	-6.422000000000001	-13.290999999999999	-8.277999999999999	-10.07	-4.296	-5.848	-9.599	-10.32
AC079612.1	-25.984	-12.265999999999998	-24.169	-11.098	-19.159000000000002	-22.474	-14.216	-22.166	-18.246	-24.676	-23.585	-25.263	-23.388	-23.941	-12.118	-21.107	-26.865	-31.448
AC091801.1	-17.797	-17.589000000000002	-16.816	-19.166	-14.825	-25.017	-16.895	-19.477999999999998	-19.08	-21.548000000000002	-23.266	-25.316	-13.479000000000001	-19.934	-13.242	-10.314	-26.732	-12.667
AC093802.1	-32.657	-23.074	-25.022	-24.484	-26.566	-28.409000000000002	-25.94	-18.77	-22.325	-23.345	-21.276999999999997	-27.7	-10.033999999999999	-25.16	-18.237000000000002	-16.247	-13.162	-22.206
AC106876.2	-22.376	-14.83	-21.194000000000006	-16.25	-17.430999999999997	-19.957	-15.21	-21.61	-21.025	-19.125999999999998	-11.040999999999999	-24.023000000000003	-17.114	-15.222000000000001	-14.989	-28.421	-13.222000000000001	-20.542
ACAA1	-10.918	-4.775	-17.243	-11.196	-17.967	-11.370999999999999	-7.91	-22.154	-21.764	-5.78	-20.33	-19.121	-5.724	-16.737000000000002	-5.619	-22.004	-17.426	-7.3679999999999986
ACAA2	-17.319000000000006	-20.248	-19.275	-8.754	-22.77	-20.206	-17.134	-15.962	-20.417	-17.609	-13.026	-28.333000000000002	-11.097999999999999	-20.517	-15.526	-17.942	-16.08	-20.727
ACACA	-25.597	-10.1	-24.907	-21.554	-16.782	-25.219	-12.918	-24.691999999999997	-25.96	-13.525	-21.883000000000003	-18.53	-0.629	-7.615	-8.047	-14.373	5.257999999999999	-17.928
